"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
990245,"Moriah","Populated Place","NC",37,"Person",145,"361528N","0784946W",36.2576429,-78.8294504,NA,NA,NA,NA,179,587,"Moriah","6/17/1980","","Rougemont","220-298 Moriah Rd, Rougemont, NC 27572, USA"
990253,"Morning Star Church","Church","NC",37,"Nash",127,"355900N","0780630W",35.9832085,-78.108323,NA,NA,NA,NA,80,262,"Spring Hope","6/17/1980","","Spring Hope","2850 N Old Franklin Rd, Spring Hope, NC 27882, USA"
990256,"Morning Star Church","Church","NC",37,"Vance",181,"362455N","0782210W",36.4151449,-78.3694412,NA,NA,NA,NA,118,387,"Middleburg","6/17/1980","","Henderson","4379 Satterwhite Point Rd, Henderson, NC 27537, USA"
990262,"Morris Chapel","Church","NC",37,"Harnett",85,"352357N","0790521W",35.3990453,-79.0891898,NA,NA,NA,NA,110,361,"Broadway","6/17/1980","","Sanford","8533 Cox Mill Rd, Sanford, NC 27332, USA"
990271,"Morrison Grove School","School","NC",37,"Richmond",153,"345214N","0794424W",34.8704326,-79.7400583,NA,NA,NA,NA,101,331,"Ghio","6/17/1980","","Hamlet","1056 Airport Rd, Hamlet, NC 28345, USA"
990273,"Morrison Training School","School","NC",37,"Richmond",153,"350125N","0793624W",35.0234879,-79.6067133,NA,NA,NA,NA,122,400,"Hoffman","6/17/1980","","Hoffman","1641 McDonald Church Rd, Hoffman, NC 28347, USA"
990280,"Morton Church","Church","NC",37,"Nash",127,"355425N","0775346W",35.9068216,-77.8960938,NA,NA,NA,NA,51,167,"Nashville","6/17/1980","","Rocky Mount","6605 West Mount Drive, Rocky Mount, NC 27803, USA"
990281,"Morton School","School","NC",37,"Onslow",133,"344612N","0771833W",34.769884,-77.3091247,NA,NA,NA,NA,8,26,"Kellum","6/17/1980","","Jacksonville","485 Old 30 Rd, Jacksonville, NC 28546, USA"
990282,"Moses Chapel","Church","NC",37,"Duplin",61,"350612N","0780908W",35.1032211,-78.1522149,NA,NA,NA,NA,49,161,"Faison","6/17/1980","","Faison","171-179 David Bright Rd, Faison, NC 28341, USA"
990291,"Moss Hill","Populated Place","NC",37,"Lenoir",107,"351147N","0774447W",35.1962744,-77.7463651,NA,NA,NA,NA,32,105,"Deep Run","6/17/1980","","Kinston","389 N Elmore Davis Rd, Kinston, NC 28504, USA"
